class,2014.1,%Activate.Enum,,%Library.Integer,,,,,,,,
class,2014.1,%Activate.HandleEvents,,%Library.RegisteredObject,TRUE,,,,,,,
class,2014.1,%Activate.GenericObject,,%Activate.IDispatch,,,,,,,,
class,2014.1,%Activate.IDispatch,,%Activate.Interface,,,,,,,,
class,2014.1,%Activate.IEnumVariant,,%Activate.Interface,,,,,,,,
class,2014.1,%Activate.Interface,,%Library.RegisteredObject,TRUE,,,,,,,
class,2014.1,%Activate.SafeArray,,%Library.String,,,,,,,,
class,2014.1,%Activate.RegisterEvents,,%Library.RegisteredObject,TRUE,,,,,,,
class,2014.1,%Activate.TLEnumerator,,%Library.RegisteredObject,,,,,,,,
class,2014.1,%Activate.TLLib.ILibraries,,%Activate.Interface,,,,,,,,
class,2014.1,%Activate.TLLib.IUtils,,%Activate.Interface,,,,,,,,
class,2014.1,%Activate.TLLib.Utils,,%Activate.TLLib.IUtils,,,,,,,,
class,2014.1,%Activate.UI.Application,,%ZEN.application,,,,,,,,
class,2014.1,%Activate.UI.WizardDone,,%CSP.Page,,,,,,,,
class,2014.1,%Activate.Unsupported,,%Library.RegisteredObject,,,,,,,,
class,2014.1,%Activate.UserDefined,,%Library.String,,,,,,,,
class,2014.1,%Activate.Variant,,%Library.RegisteredObject,,,,,,,,
class,2014.1,%Archive.Content,,%Library.RegisteredObject,,,,,,,,
class,2014.1,%Archive.Session,,%Library.RegisteredObject,,,,,,,,
class,2014.1,%BI.Adaptor,,%BI.MinerParams,TRUE,,,,,,,
class,2014.1,%BI.Alerts,,%Library.Persistent,,TRUE,,,,%BI.Alerts,,
class,2014.1,%BI.AnalyzerGrid,,%CSP.Page,,,,,,,,
class,2014.1,%Activate.UI.Wizard,,%ZEN.Template.ObjectGatewayWizard.Template,,,,,,,,
class,2014.1,%BI.AttachedPicture,,%Library.SerialObject,,,,,,,,
class,2014.1,%BI.AttachInfo,,%Library.Persistent,,TRUE,,,,%BI.AttachInfo,,
class,2014.1,%BI.BPM,,%Library.Persistent,,TRUE,,,,%BI.BPM,,
class,2014.1,%BI.Audit,,%Library.Persistent~%BI.Adaptor,,TRUE,,,,%BI.Audit,,
class,2014.1,%BI.BPMKPI,,%Library.SerialObject,,,,,,,,
class,2014.1,%BI.BitMapType,,%Library.SerialObject,,,,,,,,
class,2014.1,%BI.Blog,,%Library.Persistent~%XML.Adaptor,,TRUE,,,,%BI.Blog,,
class,2014.1,%BI.BlogComment,,%Library.Persistent~%BI.Adaptor,,TRUE,,,,%BI.BlogComment,,
class,2014.1,%BI.BlogImageUpload,,%Library.Persistent,,TRUE,,,,%BI.BlogImageUpload,,
class,2014.1,%BI.BlogPost,,%Library.Persistent~%BI.Adaptor~%XML.Adaptor,,TRUE,,,,%BI.BlogPost,,
class,2014.1,%BI.BoardObject,,%Library.SerialObject~%XML.Adaptor,,,,,,,,
class,2014.1,%BI.CDC,,,TRUE,,,,,,,
class,2014.1,%BI.BoardObjCom,,%Library.Persistent,,TRUE,,,,%BI.BoardObjCom,,
class,2014.1,%BI.CSPsuper,,%CSP.Page,,,,,,,,
class,2014.1,%BI.Chart,,%CSP.Page,,,,,,,,
class,2014.1,%BI.ChartCus,,%CSP.Page,,,,,,,,
class,2014.1,%BI.ChartLgnd,,%CSP.Page,,,,,,,,
class,2014.1,%BI.ClassMethodPropList,,,,,,,,,,
class,2014.1,%BI.Category,,%Library.Persistent,,TRUE,,,,%BI.Category,,
class,2014.1,%BI.ClsCom,,%Library.Persistent,,TRUE,,,,%BI.ClsCom,,
class,2014.1,%BI.ClsComFld,,%Library.Persistent,,TRUE,,,,%BI.ClsComFld,,
class,2014.1,%BI.CodeTableCSP,,,TRUE,,,,,,,
class,2014.1,%BI.CodeTable,,%Library.Persistent,,TRUE,,,,%BI.CodeTable,,
class,2014.1,%BI.CodeTableEnc,,%Library.Persistent,,TRUE,,,,%BI.CodeTableEnc,,
class,2014.1,%BI.ComLinkTable,,,TRUE,,,,,,,
class,2014.1,%BI.ComSQLGenerator,,,TRUE,,,,,,,
class,2014.1,%BI.ColorScheme,,%Library.Persistent,,TRUE,,,,%BI.ColorScheme,,
