Name,Super,Abstract,Persistent,Final,Deprecated,Hidden,SqlTable,System,Ensemble
%Api.Atelier,%Atelier.REST,,,,,,,,
%Api.Atelier.v1,%Atelier.REST,,,,,,,,
%Api.Atelier.v2,%Api.Atelier.v1,,,,,,,,
%Api.Atelier.v3,%Api.Atelier.v2,,,,,,,,
%Api.DeepSee,%CSP.REST,,,,,,,,
%Api.DocDB,%DocDB.REST,,,,,,,,
%Api.DocDB.v1,%DocDB.REST,,,,,,,,
%Api.IAM.v1.impl,%REST.Impl,,,,,,,,
%Api.IAM.v1.disp,%REST.disp,,,,,,,,
%Api.IAM.v1.spec,%REST.Spec,,,,,,,,
%Api.Mgmnt.v2.impl,%REST.Impl,,,,,,,,
%Api.Mgmnt.v2.spec,%REST.Spec,,,,,,,,
%Api.Mgmnt.v2.disp,%REST.disp,,,,,,,,
%Api.Monitor,%CSP.REST,,,,,,,,
%Api.UIMA,%CSP.REST,,,,,,,,
%Api.iKnow,%CSP.REST,,,,,,,,
%Archive.Content,%Library.RegisteredObject,,,,,,,,
%Atelier.REST,%CSP.REST,,,,,,,,
%Archive.Session,%Library.RegisteredObject,,,,,,,,
%Atelier.v1.Utils.DocumentStreamAdapter,%Library.RegisteredObject,,,,,,,,
%Atelier.SourceControl,%Studio.SourceControl.Base,,,,,,,,
%Atelier.v1.Utils.Extension,%Library.RegisteredObject,,,,,,,,
%Atelier.v1.Utils.General,%Library.RegisteredObject,,,,,,,,
%Atelier.v1.Utils.Indexer,%Library.RegisteredObject,,,,,,,,
%Atelier.v1.Utils.LazyCollection,%Library.RegisteredObject,,,,,,,,
%Atelier.v1.Utils.LazyDocument,%Library.RegisteredObject,,,,,,,,
%Atelier.v1.Utils.LazyIndex,%Library.RegisteredObject,,,,,,,,
%Atelier.v1.Utils.LazyModifiedDb,%Library.RegisteredObject,,,,,,,,
%Atelier.v1.Utils.TextServices,,,,,,,,,
%Atelier.v1.Utils.MetaData,%Library.RegisteredObject,,,,,,,,
%Atelier.v2.Utils.General,%Library.RegisteredObject,,,,,,,,
%Atelier.v2.Utils.Macros,%Atelier.REST,,,,,,,,
%Atelier.v2.Utils.TextServices,%Library.RegisteredObject,,,,,,,,
%Atelier.v1.XDebugAgent,%CSP.WebSocket,,,,,,,,
%BigData.ECPMessaging,%BigData.Messaging,,,,,TRUE,,,
%BigData.ECPMsgConnection,%SYSTEM.Semaphore,,,,,TRUE,,,
%BigData.Messaging,%Library.RegisteredObject,TRUE,,,,TRUE,,,
%Atelier.v2.XDebugAgent,%CSP.WebSocket,,,,,,,,
%BigData.SQMMessaging,%BigData.Messaging,,,,,TRUE,,,
%BigData.ShardableEntity,%Library.RegisteredObject,TRUE,,,,TRUE,,,
%BigData.SQMMsgConnection,%Library.RegisteredObject,,,,,TRUE,,,
%BigData.ShardedSQL,%BigData.ShardableEntity,,,,,TRUE,,,
%BigData.ShardingManagerCommand,%BigData.ShardableEntity,,,,,TRUE,,,
%BigData.ShardingManager,%Library.RegisteredObject,,,,,TRUE,,,
%CPP.BinList,,,,,,,,,
%CPP.Binary,,,,,,,,,
%CPP.Double,,,,,,,,,
%CPP.Integer,,,,,,,,,
%CPP.LongLong,,,,,,,,,
%CPP.StrList,,,,,,,,,
%CPP.String,,,,,,,,,
%CPP.UTF8,,,,,,TRUE,,,
%BigData.TCPMessaging,%BigData.Messaging,,,,,TRUE,,,
%CPT.COS.Analysis.API,%Library.RegisteredObject,,,,,TRUE,,,
%CPT.COS.Analysis.BasicBlock.Builder,%Library.RegisteredObject,,,,,TRUE,,,
%CPT.COS.Analysis.BasicBlock.BasicBlock,%Library.RegisteredObject,,,,,TRUE,,,
%CPT.COS.Analysis.BasicBlock.BuilderFrame,%Library.RegisteredObject,,,,,TRUE,,,
%CPT.COS.Analysis.BasicBlock.CommandArray,%Library.RegisteredObject,,,,,TRUE,,,
%CPT.COS.Analysis.BasicBlock.TreeReader.Abstract,%Library.RegisteredObject,,,,,TRUE,,,
%CPT.COS.Analysis.BasicBlock.TreeReader.Block,%CPT.COS.Analysis.BasicBlock.TreeReader.Abstract,,,,,TRUE,,,
%CPT.COS.Analysis.BasicBlock.TreeReader.RestOfLine,%CPT.COS.Analysis.BasicBlock.TreeReader.Abstract,,,,,TRUE,,,
%CPT.COS.Analysis.BlockDictionary,%Library.RegisteredObject,,,,,TRUE,,,
%CPT.COS.Analysis.Condition.Abstract,%Library.RegisteredObject,,,,,TRUE,,,
